target,cluster_labels,proportion,counts
0,5,0.977,781
0,3,0.023,18
1,5,0.995,3012
1,2,0.003,10
1,3,0.002,6
2,5,0.898,2351
2,4,0.054,142
2,2,0.03,79
2,3,0.016,41
2,0,0.001,3
2,1,0.0,1
3,5,0.87,187
3,2,0.079,17
3,4,0.047,10
3,3,0.005,1
4,5,0.988,578
4,3,0.01,6
4,2,0.002,1
5,5,0.822,189
5,4,0.087,20
5,2,0.07,16
5,3,0.022,5
6,3,0.898,4177
6,2,0.059,276
6,4,0.034,160
6,5,0.008,36
6,0,0.0,2
6,1,0.0,1
7,2,0.532,8759
7,1,0.423,6960
7,4,0.035,571
7,3,0.006,102
7,5,0.003,56
7,0,0.001,14
8,4,0.582,14196
8,0,0.413,10082
8,2,0.002,45
8,5,0.002,38
8,3,0.001,34
