target,cluster_labels,proportion,counts
0,4,0.559,447
0,1,0.404,323
0,0,0.021,17
0,2,0.015,12
1,1,0.994,3011
1,2,0.002,7
1,4,0.002,6
1,0,0.001,4
2,0,0.909,2380
2,1,0.069,180
2,4,0.016,41
2,2,0.006,15
2,3,0.0,1
3,0,0.935,201
3,1,0.06,13
3,2,0.005,1
4,4,0.793,464
4,1,0.197,115
4,0,0.01,6
5,1,0.983,226
5,6,0.013,3
5,0,0.004,1
6,2,0.795,3698
6,1,0.156,727
6,0,0.049,227
7,1,0.854,14060
7,3,0.112,1840
7,0,0.031,514
7,2,0.003,48
8,0,0.939,22902
8,1,0.045,1086
8,5,0.015,370
8,2,0.001,36
8,4,0.0,1
