,image_name,target,class_0_pred,class_1_pred,class_2_pred,class_3_pred,class_4_pred,class_5_pred,class_6_pred,class_7_pred,class_8_pred,binary_target
0,ISIC_0067681,1,9.699817203708092e-79,1.0,2.6729254576983117e-67,0.0,4.276643258681921e-149,0.0,7.010612164577895e-67,4.441765166241877e-64,4.804841124215185e-70,0
1,ISIC_9345670,8,4.223419810762544e-87,1.9265255695691536e-61,8.562275397240552e-38,0.0,7.714067637208645e-131,0.0,5.077587520053854e-25,1.349748859924112e-19,1.0,0
2,ISIC_0066922,1,2.667790794758e-100,1.0,7.525258912700002e-78,0.0,8.1886141992498e-157,0.0,2.1164794410100858e-72,1.1119763752963739e-67,1.5371750945474045e-76,0
3,ISIC_4247204,8,1.0058824959763973e-93,6.425923096257461e-69,1.198223000497371e-37,0.0,2.128402863432884e-130,0.0,3.0894689601155094e-26,1.9384942519151516e-17,1.0,0
4,ISIC_0032297,7,2.500841993000638e-91,2.612299427193444e-68,8.972761797410723e-35,0.0,2.3648478674028828e-138,0.0,9.45816474610134e-21,1.0,3.325122694362848e-19,0
5,ISIC_2921549,8,7.017353942297499e-91,2.097253595739863e-67,1.6742763148910387e-38,0.0,9.756108416150213e-134,0.0,3.408394154923563e-26,5.842222739210904e-19,1.0,0
6,ISIC_7066695,7,3.786292255087163e-86,5.947570974239192e-63,2.4013936971724937e-33,0.0,1.967035660881314e-126,0.0,3.0589037892869325e-18,0.9999999999999996,3.808512732883158e-16,0
7,ISIC_3152305,8,3.657605085243666e-94,1.0539727720334077e-66,1.0543580958769426e-34,0.0,4.8383877651198336e-129,0.0,7.989176728355002e-22,1.4605818798004647e-16,0.9999999999999998,0
8,ISIC_6346989,8,1.8169619695370757e-90,2.5033127838913116e-63,3.285428244255662e-35,0.0,7.580621015190357e-132,0.0,6.19322429170394e-19,5.234194938290219e-14,0.9999999999999476,0
9,ISIC_6237488,8,5.028913274402085e-91,8.288971665801588e-72,8.764900356426499e-36,0.0,2.4406447261494774e-132,0.0,3.505391610633059e-23,2.440578443267268e-17,1.0,0
10,ISIC_9546876,8,3.0199456311480785e-85,3.9830226838195586e-64,1.0994213868664301e-32,0.0,4.726455922400593e-141,0.0,3.390800318139278e-22,3.597446284363331e-16,0.9999999999999996,0
