,image_name,target,class_0_pred,class_1_pred,class_2_pred,class_3_pred,class_4_pred,class_5_pred,class_6_pred,class_7_pred,class_8_pred,binary_target
0,ISIC_0067681,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,ISIC_9345670,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2,ISIC_0066922,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,ISIC_4247204,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4,ISIC_0032297,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5,ISIC_2921549,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6,ISIC_7066695,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7,ISIC_3152305,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8,ISIC_6346989,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
9,ISIC_6237488,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10,ISIC_9546876,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
11,ISIC_0028034,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
12,ISIC_9662367,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13,ISIC_2266312,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
14,ISIC_5248948,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15,ISIC_0061799,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
16,ISIC_3628451,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
17,ISIC_0033991,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18,ISIC_1916757,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
19,ISIC_2916164,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
20,ISIC_3716504,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
21,ISIC_0059268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
22,ISIC_7288949,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23,ISIC_6383291,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24,ISIC_8083159,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
25,ISIC_0058477,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26,ISIC_0031891,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
27,ISIC_0071256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
28,ISIC_0073189,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
29,ISIC_0054085,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
30,ISIC_5019303,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
31,ISIC_0067604,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
32,ISIC_0029726,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
33,ISIC_0025900,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6393364694587589e-186,0
34,ISIC_7889231,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35,ISIC_0250064,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
36,ISIC_1952049,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
37,ISIC_7212966,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38,ISIC_0029668,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
39,ISIC_6753254,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40,ISIC_0029097,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41,ISIC_0064889,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998974589,1.0254110662018291e-10,0.0,0
42,ISIC_2176462,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43,ISIC_8165434,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44,ISIC_2100640,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
45,ISIC_0027131,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
46,ISIC_0653456,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
47,ISIC_0025696,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
48,ISIC_0072868,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
49,ISIC_2746860,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
50,ISIC_0033433,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
51,ISIC_6251647,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52,ISIC_9647024,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
53,ISIC_4158432,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54,ISIC_7852801,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
55,ISIC_0026838,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
56,ISIC_0025948,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
57,ISIC_1537958,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
58,ISIC_7270233,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
59,ISIC_0025092,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
60,ISIC_9654366,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
61,ISIC_0012682_downsampled,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
62,ISIC_3404606,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
63,ISIC_0070465,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
64,ISIC_1362265,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
65,ISIC_0055735,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,ISIC_9354237,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
