,variable_1,variable_2,accuracy_score
0,multiple_of_mean_features,std_of_worst_features,0.961335676625659
1,worst - mean perimeter,multiple_of_mean_features,0.961335676625659
2,ratio of worst to mean perimeter,multiple_of_mean_features,0.961335676625659
3,multiple_of_mean_features,mean_of_worst_features,0.9595782073813708
4,multiple_of_worst_features,sum_of_worst_features,0.9595782073813708
5,worst - mean area,multiple_of_worst_features,0.9578207381370826
6,ratio of worst to mean area,multiple_of_worst_features,0.9578207381370826
7,max_of_worst_features,multiple_of_worst_features,0.9578207381370826
8,multiple_of_worst_features,worst area,0.9578207381370826
9,std_of_worst_features,multiple_of_worst_features,0.9560632688927944
10,worst area,multiple_of_mean_features,0.9560632688927944
11,worst - mean area,multiple_of_mean_features,0.9560632688927944
12,multiple_of_mean_features,max_of_worst_features,0.9560632688927944
13,ratio of worst to mean area,multiple_of_mean_features,0.9560632688927944
14,worst perimeter,multiple_of_mean_features,0.9560632688927944
15,mean texture,worst perimeter,0.9543057996485061
16,worst texture,ratio of worst to mean area,0.9543057996485061
17,worst perimeter,ratio of worst to mean texture,0.9543057996485061
18,worst perimeter,worst - mean texture,0.9543057996485061
19,mean_of_worst_features,mean texture,0.9543057996485061
20,worst texture,worst - mean area,0.9543057996485061
21,worst - mean radius,multiple_of_mean_features,0.9525483304042179
22,multiple_of_mean_features,std_of_error_features,0.9525483304042179
23,worst perimeter,std_of_mean_features,0.9525483304042179
24,mean concavity,ratio of worst to mean radius,0.9525483304042179
25,worst radius,multiple_of_mean_features,0.9525483304042179
26,multiple_of_mean_features,sum_of_worst_features,0.9525483304042179
27,ratio of worst to mean radius,multiple_of_mean_features,0.9525483304042179
28,mean concavity,worst - mean radius,0.9525483304042179
29,worst texture,worst perimeter,0.9525483304042179
