,criterion,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,training_prediction_score,Homogeneity Score,Completeness Score,V_measure Score,Accuracy Score,Balanced Accuracy Score,F1 Score
0,gini,log2,7.0,52.0,51.0,3.0,0.9714285714285714,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
1,gini,log2,8.0,102.0,51.0,4.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
2,gini,log2,4.0,2.0,51.0,5.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
3,gini,sqrt,2.0,152.0,51.0,16.0,0.9692307692307692,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
4,gini,sqrt,4.0,102.0,51.0,7.0,0.9692307692307692,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
5,gini,auto,4.0,102.0,51.0,6.0,0.967032967032967,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
6,gini,log2,2.0,52.0,1.0,4.0,0.9824175824175824,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
7,gini,sqrt,6.0,152.0,51.0,8.0,0.967032967032967,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
8,gini,log2,4.0,52.0,51.0,4.0,0.9692307692307692,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
9,gini,auto,8.0,102.0,1.0,11.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
10,gini,log2,7.0,52.0,51.0,7.0,0.967032967032967,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
11,gini,log2,2.0,102.0,51.0,12.0,0.9604395604395605,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
12,gini,log2,3.0,102.0,1.0,7.0,0.9802197802197802,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
13,gini,log2,3.0,102.0,1.0,5.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
14,entropy,auto,6.0,102.0,1.0,9.0,0.9824175824175824,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
15,gini,log2,3.0,102.0,1.0,3.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
16,gini,auto,4.0,102.0,1.0,7.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
17,gini,log2,8.0,102.0,1.0,4.0,0.9824175824175824,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
18,gini,log2,5.0,52.0,1.0,3.0,0.9714285714285714,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
19,gini,sqrt,2.0,102.0,51.0,15.0,0.9648351648351648,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
20,entropy,auto,8.0,152.0,51.0,3.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
21,entropy,log2,5.0,102.0,1.0,16.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
22,gini,auto,8.0,152.0,51.0,17.0,0.967032967032967,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
23,gini,auto,2.0,152.0,1.0,13.0,0.9758241758241758,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
24,gini,auto,5.0,52.0,51.0,16.0,0.9758241758241758,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
25,gini,sqrt,3.0,102.0,1.0,14.0,0.9824175824175824,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
26,entropy,log2,4.0,102.0,1.0,14.0,0.9758241758241758,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
27,gini,log2,6.0,52.0,51.0,8.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
28,gini,sqrt,2.0,2.0,51.0,4.0,0.967032967032967,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
29,gini,log2,4.0,102.0,1.0,5.0,0.978021978021978,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
