,image_name,target,tsne_x,tsne_y
0,ISIC_2676685,8,25.36039,-26.471418
1,ISIC_0054259,0,-21.374352,-30.466576
2,ISIC_4348010,8,15.662328,-38.409885
3,ISIC_4006569,8,13.124499,14.885318
4,ISIC_0033973,2,-4.799382,-30.342575
5,ISIC_0034182,7,-20.529123,3.7970839
6,ISIC_5368272,7,-25.659859,36.36954
7,ISIC_3740783,8,41.912903,23.02291
8,ISIC_7715233,8,39.02202,5.701441
9,ISIC_0033469,6,-26.261183,-13.199399
10,ISIC_2939330,8,42.0459,1.6539944
11,ISIC_0014410_downsampled,2,-6.7910995,4.8030224
12,ISIC_2673608,8,4.032431,11.789696
13,ISIC_0032549,7,-35.916115,20.51125
14,ISIC_0054539,1,-34.179832,-47.72954
15,ISIC_0012911_downsampled,7,-10.403925,2.6485124
16,ISIC_0071962,2,0.49304098,-27.162767
17,ISIC_0068763,6,-43.07749,-14.706875
18,ISIC_5459056,8,12.496984,-16.937998
19,ISIC_0026459,7,-13.560297,39.125687
20,ISIC_0028122,1,-32.590324,-51.091434
21,ISIC_0024801,7,-1.1851531,25.285873
22,ISIC_0062656,7,-37.085896,8.734549
23,ISIC_0028563,7,-5.1672473,44.93812
24,ISIC_4829356,8,21.560677,28.39487
25,ISIC_8285361,7,-10.676384,1.7006184
26,ISIC_7345367,8,35.524185,4.3020287
27,ISIC_5859812,8,40.044785,-23.153374
28,ISIC_7753076,8,-5.4853015,-0.8448021
29,ISIC_2735051,8,-5.3385444,-7.759587
30,ISIC_2587913,8,52.152332,13.158798
31,ISIC_0033473,6,-30.348272,-19.284218
32,ISIC_9473134,8,47.33454,4.2392592
33,ISIC_0033732,2,3.4229522,-25.163952
34,ISIC_0057131,4,-4.783455,-45.666527
35,ISIC_8902080,8,25.698435,4.5193152
36,ISIC_0026302,7,7.4163766,39.266235
37,ISIC_8911683,8,54.13299,2.6610873
38,ISIC_3308635,8,48.997276,-5.7168813
39,ISIC_7050122,8,19.542345,-34.907906
40,ISIC_8827745,7,-10.35312,34.980804
41,ISIC_5301965,8,27.272884,-28.12681
42,ISIC_5204408,8,37.590717,-2.1058934
43,ISIC_1720856,8,7.168787,8.949798
44,ISIC_0032073,7,2.2467864,33.63965
45,ISIC_3686815,8,20.516348,22.794043
46,ISIC_0058027,7,-46.598316,8.2509365
47,ISIC_4964433,8,15.778545,25.644485
48,ISIC_0438234,8,44.816494,-3.183659
49,ISIC_1349042,8,4.320155,-1.2399291
50,ISIC_6053755,7,-9.157269,30.444271
51,ISIC_5081644,8,38.948368,18.788683
52,ISIC_4104442,8,24.231876,6.747265
53,ISIC_7449606,8,29.559322,24.85036
54,ISIC_0064814,1,-21.66356,-49.14333
55,ISIC_0025878,7,-2.1095815,43.815502
56,ISIC_7333167,7,0.83278763,32.039486
57,ISIC_0028151,7,-22.136648,0.266789
58,ISIC_0463308,8,28.437532,35.740223
59,ISIC_5465521,8,28.282812,-35.07395
60,ISIC_0072324,7,-32.08121,15.784273
61,ISIC_0911363,8,27.077894,-17.956764
62,ISIC_5183488,8,42.5278,14.315079
63,ISIC_5320483,8,21.909353,12.574276
64,ISIC_6867686,8,22.95208,10.64797
65,ISIC_4265307,8,21.333164,-32.735256
66,ISIC_6514525,7,-16.011276,51.924587
67,ISIC_0013000_downsampled,7,-6.537362,9.500218
68,ISIC_0060209,1,-34.911213,-39.5625
69,ISIC_1688271,8,25.936275,-41.060997
70,ISIC_2056104,7,-25.534077,43.542725
71,ISIC_5464942,7,-8.850612,35.1337
72,ISIC_0026183,7,2.621751,40.214386
73,ISIC_1547311,8,8.276383,2.3362596
74,ISIC_0058130,1,-22.420977,-40.257828
75,ISIC_6189075,8,23.403439,19.388779
76,ISIC_4654965,7,3.659611,41.4813
77,ISIC_6973830,8,26.380722,-18.826397
78,ISIC_8005856,7,-13.709645,30.688797
79,ISIC_1687584,8,51.3762,6.530501
80,ISIC_0071861,7,-44.053577,10.973605
81,ISIC_0060590,1,-16.813183,-43.46237
82,ISIC_0033638,6,-25.922544,-6.1120596
83,ISIC_5173984,8,1.6293144,-8.843995
84,ISIC_2909153,8,25.687927,3.3945932
85,ISIC_1942114,8,10.051043,-35.36434
86,ISIC_0058349,1,-25.79251,-37.720955
87,ISIC_6895579,8,7.625373,-0.55597645
88,ISIC_0031737,7,-8.5666065,35.273045
89,ISIC_7352124,8,50.079258,9.774244
90,ISIC_0029299,7,-4.090217,51.338707
91,ISIC_8997109,8,35.697807,-6.29939
92,ISIC_0029612,2,-8.71127,-35.78094
93,ISIC_0078712,8,-8.108915,-3.6785326
94,ISIC_5972994,8,34.510147,-26.381613
95,ISIC_0028273,7,-6.634223,31.246765
96,ISIC_9259989,8,26.680975,25.086878
97,ISIC_0028096,7,-12.61119,45.40912
98,ISIC_0033390,7,-23.543795,13.872259
99,ISIC_4996497,8,24.824692,-0.3495187
100,ISIC_1200819,8,28.644073,29.871897
101,ISIC_0026350,1,-34.965744,-39.90226
102,ISIC_1258763,8,47.470615,-0.19428879
103,ISIC_5576986,8,35.044823,-6.5309725
104,ISIC_8526982,8,-5.2715297,-9.154151
105,ISIC_1392776,8,31.3774,2.0793653
106,ISIC_0027578,7,-23.069002,-5.3839483
107,ISIC_9542544,8,50.1253,7.2942185
108,ISIC_4684100,8,21.409672,-38.67468
109,ISIC_0068584,6,-40.07639,-8.175317
110,ISIC_6328526,8,28.133497,-16.79514
111,ISIC_5047956,8,30.73297,-31.304544
112,ISIC_0000056_downsampled,6,-22.78864,-14.9529505
113,ISIC_0027329,7,-4.3603563,41.541622
114,ISIC_0067691,7,-34.263447,1.2859786
115,ISIC_0648773,8,22.539604,-35.93187
116,ISIC_0030300,7,-42.28777,19.040417
117,ISIC_0054620,7,-20.388674,15.86231
118,ISIC_1316518,8,6.295896,15.941066
119,ISIC_4248187,8,35.007248,12.86032
120,ISIC_7964819,8,23.641056,3.4628072
121,ISIC_0067506,7,-28.97349,24.49347
122,ISIC_0715086,8,-7.104679,-3.0666845
123,ISIC_1209492,8,23.756788,19.73003
124,ISIC_7392931,8,30.786472,-41.017223
125,ISIC_6582297,8,33.33253,25.375532
126,ISIC_1325727,8,10.190835,10.182097
127,ISIC_0010226,7,-32.80206,7.5008674
128,ISIC_0934223,8,4.25782,-16.906832
