,image_name,target,tsne_x,tsne_y
0,ISIC_2676685,8,16.424873,-30.88764
1,ISIC_0054259,0,-31.476135,-39.61019
2,ISIC_4348010,8,1.9630077,-39.25822
3,ISIC_4006569,8,17.649317,8.426924
4,ISIC_0033973,2,-17.618992,-29.971764
5,ISIC_0034182,7,-18.680592,9.078972
6,ISIC_5368272,7,-15.979991,42.28009
7,ISIC_3740783,8,45.7956,4.7373357
8,ISIC_7715233,8,39.98258,-7.2708716
9,ISIC_0033469,6,-24.926428,-3.8046505
10,ISIC_2939330,8,40.53315,-12.164458
11,ISIC_0014410_downsampled,2,-22.35667,-18.95019
12,ISIC_2673608,8,9.146291,13.414373
13,ISIC_0032549,7,-31.310217,31.319305
14,ISIC_0054539,1,-48.396908,-14.625214
15,ISIC_0012911_downsampled,7,-8.412701,7.6941886
16,ISIC_0071962,2,-15.246678,-24.884394
17,ISIC_0068763,6,-39.22812,-3.9905875
18,ISIC_5459056,8,-0.3676581,-15.113684
19,ISIC_0026459,7,1.037369,44.110264
20,ISIC_0028122,1,-51.940918,-17.205425
21,ISIC_0024801,7,11.584659,29.98035
22,ISIC_0062656,7,-33.128223,18.949774
23,ISIC_0028563,7,6.840678,48.22359
24,ISIC_4829356,8,29.859318,22.6264
25,ISIC_8285361,7,-7.764059,7.129169
26,ISIC_7345367,8,35.106316,-6.479545
27,ISIC_5859812,8,30.147127,-34.688553
28,ISIC_7753076,8,-1.6679882,2.4947448
29,ISIC_2735051,8,-0.49654603,-3.8841321
30,ISIC_2587913,8,54.464108,-4.821486
31,ISIC_0033473,6,-28.985172,-9.854338
32,ISIC_9473134,8,46.041065,-11.924775
33,ISIC_0033732,2,-13.16037,-21.073553
34,ISIC_0057131,4,-8.070663,-55.42919
35,ISIC_8902080,8,25.444193,-2.2851899
36,ISIC_0026302,7,19.92226,39.981205
37,ISIC_8911683,8,52.456238,-16.275463
38,ISIC_3308635,8,40.27755,-20.07451
39,ISIC_7050122,8,6.541039,-33.231
40,ISIC_8827745,7,1.3799274,37.810875
41,ISIC_5301965,8,16.60531,-32.827778
42,ISIC_5204408,8,35.075993,-15.681435
43,ISIC_1720856,8,9.033395,9.379547
44,ISIC_0032073,7,15.178084,35.755516
45,ISIC_3686815,8,28.42846,17.568966
46,ISIC_0058027,7,-40.7333,21.087278
47,ISIC_4964433,8,25.70659,22.096743
48,ISIC_0438234,8,36.806366,-13.788363
49,ISIC_1349042,8,6.2804666,-3.2794304
50,ISIC_6053755,7,0.8620471,32.684593
51,ISIC_5081644,8,30.332552,-5.0974054
52,ISIC_4104442,8,24.623339,-0.8485854
53,ISIC_7449606,8,38.68361,16.619452
54,ISIC_0064814,1,-49.786587,-24.888575
55,ISIC_0025878,7,9.066177,46.00388
56,ISIC_7333167,7,9.315616,34.418003
57,ISIC_0028151,7,-20.843798,11.141931
58,ISIC_0463308,8,40.33705,26.564125
59,ISIC_5465521,8,17.506638,-39.841972
60,ISIC_0072324,7,-26.351469,24.458433
61,ISIC_0911363,8,21.312695,-23.973513
62,ISIC_5183488,8,46.452946,-0.55658704
63,ISIC_5320483,8,26.27417,7.189103
64,ISIC_6867686,8,25.569965,1.5873551
65,ISIC_4265307,8,10.362573,-32.44443
66,ISIC_6514525,7,-3.7144623,56.163807
67,ISIC_0013000_downsampled,7,-2.3335187,15.595527
68,ISIC_0060209,1,-39.62439,-17.58676
69,ISIC_1688271,8,11.025983,-43.55885
70,ISIC_2056104,7,-12.156317,53.24552
71,ISIC_5464942,7,3.0328493,37.321957
72,ISIC_0026183,7,15.774656,40.575214
73,ISIC_1547311,8,10.833383,-1.0009266
74,ISIC_0058130,1,-40.75715,-27.575407
75,ISIC_6189075,8,24.225258,15.788233
76,ISIC_4654965,7,16.331766,41.97743
77,ISIC_6973830,8,16.4476,-23.860167
78,ISIC_8005856,7,4.3350754,28.341034
79,ISIC_1687584,8,51.973206,-13.415838
80,ISIC_0071861,7,-42.32058,24.634268
81,ISIC_0060590,1,-45.260864,-35.558624
82,ISIC_0033638,6,-22.67246,1.6353974
83,ISIC_5173984,8,7.6953363,-6.081613
84,ISIC_2909153,8,26.290932,-2.8178096
85,ISIC_1942114,8,0.124893144,-32.194256
86,ISIC_0058349,1,-35.96416,-27.5759
87,ISIC_6895579,8,8.461313,-2.5650525
88,ISIC_0031737,7,1.613129,36.388573
89,ISIC_7352124,8,51.500317,-7.9791126
90,ISIC_0029299,7,7.222407,53.314247
91,ISIC_8997109,8,24.876007,-13.509157
92,ISIC_0029612,2,-17.490566,-38.010784
93,ISIC_0078712,8,-4.766303,0.9043049
94,ISIC_5972994,8,24.519217,-35.67305
95,ISIC_0028273,7,4.4429,32.26575
96,ISIC_9259989,8,36.42671,14.711764
97,ISIC_0028096,7,-2.0036187,49.76222
98,ISIC_0033390,7,-18.012346,19.947115
99,ISIC_4996497,8,24.491266,-7.5142064
100,ISIC_1200819,8,45.535675,14.691274
101,ISIC_0026350,1,-44.306984,-18.854347
102,ISIC_1258763,8,45.609085,-16.187675
103,ISIC_5576986,8,30.60446,-17.246597
104,ISIC_8526982,8,-0.3712025,-5.2197194
105,ISIC_1392776,8,24.577194,-2.5750928
106,ISIC_0027578,7,-19.802284,5.156926
107,ISIC_9542544,8,50.36798,-12.88697
108,ISIC_4684100,8,8.322147,-38.608723
109,ISIC_0068584,6,-42.05563,4.6492734
110,ISIC_6328526,8,22.922688,-23.005962
111,ISIC_5047956,8,16.651579,-36.551723
112,ISIC_0000056_downsampled,6,-22.446835,-6.2183495
113,ISIC_0027329,7,7.454973,43.72162
114,ISIC_0067691,7,-30.152231,12.869807
115,ISIC_0648773,8,10.251502,-36.887623
116,ISIC_0030300,7,-44.312935,27.96182
117,ISIC_0054620,7,-17.287426,25.978909
118,ISIC_1316518,8,12.48749,16.02256
119,ISIC_4248187,8,39.48853,1.0799911
120,ISIC_7964819,8,22.980885,-1.0455787
121,ISIC_0067506,7,-23.486423,31.658628
122,ISIC_0715086,8,-4.79179,1.0404186
123,ISIC_1209492,8,31.449898,12.866293
124,ISIC_7392931,8,15.454345,-46.69634
125,ISIC_6582297,8,42.101276,6.407823
126,ISIC_1325727,8,14.876955,8.304592
127,ISIC_0010226,7,-29.391684,18.084532
128,ISIC_0934223,8,-8.791367,-12.256838
129,ISIC_2753279,7,-1.7851446,11.301595
130,ISIC_9047184,8,27.136944,11.365512
131,ISIC_5693881,8,22.91322,2.728068
132,ISIC_6807803,8,32.3784,17.742025
133,ISIC_0449824,8,20.083849,1.961409
134,ISIC_0053833,7,-27.15582,20.50577
135,ISIC_0059216,6,-46.66468,-4.1185546
136,ISIC_8386762,8,25.84575,-7.786251
137,ISIC_9570855,8,31.728449,8.652246
138,ISIC_3858798,7,-2.718369,39.037064
139,ISIC_6204970,8,32.814865,-33.885292
140,ISIC_9364535,8,0.11945643,-6.002592
141,ISIC_2396480,8,45.43578,19.11913
142,ISIC_0029632,6,-25.037031,-10.530487
143,ISIC_0060046,7,-29.057076,37.498497
144,ISIC_8247802,8,-0.6111486,0.60073614
145,ISIC_0068326,7,-21.177345,16.235952
146,ISIC_7545549,7,-6.312967,28.835794
147,ISIC_3221297,8,39.77705,1.907668
148,ISIC_5681315,8,-2.1327374,-6.5889597
149,ISIC_8396474,7,5.8044796,29.319271
150,ISIC_0072824,6,-29.401249,-14.242161
151,ISIC_0174405,8,15.846328,-15.1692095
152,ISIC_5070697,7,-10.362454,42.746967
153,ISIC_1577621,8,49.9295,-9.882744
154,ISIC_5350198,8,4.2534895,-28.391693
155,ISIC_0025263,7,-0.97215855,58.362614
156,ISIC_0282422,8,28.99392,16.214163
157,ISIC_8430286,8,4.3503385,-4.083739
158,ISIC_0031159,2,-19.286821,-23.472963
159,ISIC_5549273,8,51.656685,-0.2157244
160,ISIC_0060674,2,-24.873697,-30.449097
161,ISIC_0765584,8,53.08667,-0.5106847
162,ISIC_0055446,5,-13.766228,-48.344696
163,ISIC_0029590,7,4.227335,44.57009
164,ISIC_5868291,6,-16.66799,-4.398932
165,ISIC_0033532,7,-20.770065,23.657612
166,ISIC_0031393,7,9.190129,29.57071
167,ISIC_2564319,8,23.357243,-23.996872
168,ISIC_0072969,4,-4.3329577,-57.953186
169,ISIC_8239034,7,-8.677179,39.230618
170,ISIC_0073119,6,-32.85831,4.3991756
171,ISIC_0360822,8,-4.8117495,-15.4244375
172,ISIC_0068546,0,-26.79275,-42.570812
173,ISIC_8483382,6,-17.192234,-6.0657563
174,ISIC_6851482,7,-4.7029653,56.1863
175,ISIC_0025475,7,-12.386348,48.65547
176,ISIC_4961543,8,9.112269,-16.990288
177,ISIC_4399771,8,23.339262,-41.45341
178,ISIC_0069242,5,-13.83046,-48.442318
179,ISIC_0070992,6,-42.10237,-1.2629589
180,ISIC_0159782,8,2.1313438,-1.9701868
181,ISIC_6932481,8,38.41235,21.192404
182,ISIC_8194809,8,31.603832,-33.023384
183,ISIC_2381283,8,32.127163,-39.47356
184,ISIC_9368994,8,0.7472253,-6.3347635
185,ISIC_0033793,7,-42.758934,22.564932
186,ISIC_0032293,7,-13.909745,42.92843
187,ISIC_0071318,4,-5.424345,-56.442165
188,ISIC_0065727,6,-30.314287,1.8044375
189,ISIC_0432484,8,13.371493,4.4868574
190,ISIC_0059979,7,-31.394215,32.131447
191,ISIC_0033898,7,-9.99705,12.917043
192,ISIC_7702996,8,52.861378,-16.267757
193,ISIC_0070413,7,-24.70891,29.06771
194,ISIC_0000277,6,-31.649439,-5.403026
195,ISIC_0067377,0,-31.064117,-44.655575
196,ISIC_9449064,8,13.250529,0.86384547
197,ISIC_0066617,7,-31.344604,37.150818
198,ISIC_0055507,7,-13.582974,25.630531
199,ISIC_2014399,8,28.622183,-11.816968
200,ISIC_0559566,8,6.174707,-6.8177257
201,ISIC_0028596,7,-18.403448,3.7736251
202,ISIC_1750674,8,22.86094,-4.046391
203,ISIC_4052885,7,-4.3045554,40.383053
204,ISIC_9516457,8,27.933102,-2.686839
205,ISIC_0061955,1,-45.07333,-29.010487
206,ISIC_0053851,7,-36.064102,16.62559
207,ISIC_7724959,8,18.159132,-48.83417
208,ISIC_0031834,7,1.4128994,43.69577
209,ISIC_5428651,8,32.323296,16.780287
210,ISIC_8344196,8,37.138016,-16.985811
211,ISIC_0031610,7,11.481794,49.61985
212,ISIC_2258220,8,20.458185,-8.122564
213,ISIC_0070496,7,-42.094757,28.951803
214,ISIC_5475765,7,-2.4524121,29.940193
215,ISIC_2031252,8,42.491985,-14.955956
216,ISIC_1035480,8,12.124151,-1.5722961
217,ISIC_0026265,2,-11.371322,-32.27634
218,ISIC_0067057,1,-45.678574,-30.421583
219,ISIC_0069274,7,-23.230846,26.727991
220,ISIC_0010060,7,-29.514133,18.828554
221,ISIC_7988517,8,22.660913,1.8378174
222,ISIC_2325035,8,49.299545,0.56407595
223,ISIC_0064383,2,-18.878798,-30.026627
224,ISIC_0030613,7,-9.350206,51.219364
225,ISIC_8624123,8,53.298683,0.5466316
226,ISIC_1837402,8,37.003834,-20.231771
227,ISIC_0055007,6,-47.14293,-6.3781796
228,ISIC_0030870,3,-8.472,-41.798622
229,ISIC_0031160,7,-14.467414,17.392014
230,ISIC_4714617,7,-2.0758252,47.8651
231,ISIC_3447311,7,2.156294,53.127487
232,ISIC_3348086,7,-14.536209,42.660988
233,ISIC_0027155,6,-24.347923,-3.7108562
234,ISIC_3646425,8,15.454949,13.73666
235,ISIC_0010322,6,-25.892296,-12.738771
236,ISIC_0059366,1,-49.845722,-31.698286
237,ISIC_7782766,8,19.156874,-25.105223
238,ISIC_6484241,8,-3.4647915,-5.6966634
239,ISIC_0072852,1,-35.815155,-22.213003
240,ISIC_7560495,8,2.1696503,-2.4160874
241,ISIC_4963111,8,26.022127,-28.083256
242,ISIC_0032720,7,-23.016796,27.859991
243,ISIC_0711803,7,-13.439581,44.355503
244,ISIC_0029828,7,-5.373555,29.914558
245,ISIC_5557548,8,23.623466,13.643432
246,ISIC_9153274,8,34.38368,-7.493426
247,ISIC_0070549,6,-32.993134,2.1966994
248,ISIC_8227913,8,1.6014692,-42.65263
249,ISIC_0149698,8,27.489895,22.682156
250,ISIC_0027622,6,-31.191986,0.25435013
251,ISIC_8822826,8,-2.4838605,-19.393772
252,ISIC_3742470,8,37.04331,0.86897415
253,ISIC_9949745,8,20.860134,2.4158163
254,ISIC_0054462,6,-32.03252,-16.680803
255,ISIC_0614271,8,15.37381,-6.376723
256,ISIC_0028817,7,-6.124398,47.73929
257,ISIC_0000366,7,-31.94396,28.111357
258,ISIC_0071149,7,-21.454962,4.9212933
259,ISIC_5850633,7,-3.2359915,45.716915
260,ISIC_3585381,8,31.687643,25.898159
261,ISIC_5753196,7,1.751486,48.252644
262,ISIC_0066390,6,-43.41917,-3.577728
263,ISIC_0014480_downsampled,6,-18.10075,-7.55789
264,ISIC_0028748,7,15.163604,46.468613
265,ISIC_0025780,0,-25.548035,-47.903065
266,ISIC_1337144,8,16.06539,23.280148
267,ISIC_8324870,8,13.748341,9.066445
